px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
1.76947	16.1505	4.94503	4.06568	0.348737	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	1.89472
1.53711	16.0479	4.88718	4.0036	0.234878	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	0.923431
1.43589	15.7274	5.08872	4.11502	0.399272	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.35423
1.26037	15.4801	5.18088	4.13376	0.396516	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.585587
1.08572	15.3342	5.0858	4.1029	0.317522	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	1.11023
0.864253	15.0861	5.22229	4.09776	0.285634	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	1.80199
0.701345	14.9627	5.06734	4.06172	0.203446	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	1.98871
0.637772	14.7064	5.07393	4.13412	0.293808	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.829591
0.540963	14.4169	5.18213	4.20357	0.381234	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.03253
0.34468	14.2182	5.20162	4.17705	0.314673	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.661141
0.237015	13.9167	5.36416	4.24744	0.41328	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	1.55235
0.27228	13.6379	5.30722	4.35568	0.541892	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	2.82851
0.166691	13.4192	5.27887	4.36604	0.520317	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.681929
-0.05756	13.263	5.21828	4.29382	0.378896	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	1.71973
-0.19328	13.0812	5.1107	4.27224	0.311894	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0.541569
-0.148072	12.8515	5.00845	4.36346	0.42236	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.25983
-0.287155	12.6507	4.92721	4.33515	0.337081	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	2.88671
-0.415475	12.4027	4.98663	4.33662	0.314543	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.378459
-0.55757	12.2279	4.92277	4.31012	0.255724	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	2.59162
-0.623269	12.0136	4.88559	4.33418	0.272014	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.164705
-0.758164	11.7755	4.94027	4.32773	0.245007	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	2.44981
-0.983983	11.5052	5.09064	4.27987	0.158737	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	3.4108
-1.0952	11.2858	5.02299	4.26742	0.11158	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	2.12654
-1.29107	11.0733	5.04944	4.22153	0.0374587	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364	0.891472
-1.3327	10.765	5.21801	4.31007	0.189816	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075	1.99639
-1.45068	10.4792	5.30903	4.32317	0.195449	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686	0.412738
-1.53357	10.1876	5.39282	4.35828	0.237133	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198	0.541753
-1.66106	10.0883	5.14928	4.30866	0.147781	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615	2.00792
-1.73818	9.85703	5.13198	4.32774	0.166092	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939	0.392872
-1.79351	9.65408	5.05427	4.34739	0.182367	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172	0.506747
-1.89361	9.36839	5.19468	4.37783	0.231351	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316	2.5215
-1.91082	8.94478	5.47176	4.47145	0.350057	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374	2.69794
-2.04487	8.81352	5.20758	4.40158	0.203463	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347	3.60172
-2.14817	8.56111	5.22863	4.39913	0.185274	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238	0.0925787
-2.30265	8.31016	5.271	4.3698	0.131247	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047	2.49801
